Source,Target,Type,Id,Label,timeset,Weight,e_correlation,e_relation
n5,n1555,Undirected,164,,,0.932888,0.932888,Pos
n5,n1622,Undirected,165,,,0.465106,0.465106,Pos
n5,n1642,Undirected,166,,,0.533515,0.533515,Pos
n5,n1654,Undirected,167,,,0.618236,0.618236,Pos
n5,n1806,Undirected,168,,,0.589619,0.589619,Pos
n5,n1815,Undirected,169,,,0.715235,0.715235,Pos
n5,n1850,Undirected,170,,,0.496631,0.496631,Pos
n5,n1984,Undirected,171,,,0.840128,0.840128,Pos
n5,n1990,Undirected,172,,,0.93254,0.93254,Pos
n5,n2004,Undirected,173,,,0.635337,0.635337,Pos
n5,n2089,Undirected,174,,,0.550667,0.550667,Pos
n5,n2098,Undirected,175,,,0.932891,0.932891,Pos
n5,n2105,Undirected,176,,,0.589518,0.589518,Pos
n5,n2199,Undirected,177,,,0.610999,0.610999,Pos
n5,n2266,Undirected,178,,,0.735421,0.735421,Pos
n5,n2281,Undirected,179,,,0.699067,0.699067,Pos
n5,n2328,Undirected,180,,,0.502461,0.502461,Pos
n5,n2370,Undirected,181,,,0.568259,0.568259,Pos
n5,n2393,Undirected,182,,,0.693423,0.693423,Pos
n5,n2401,Undirected,183,,,0.457676,0.457676,Pos
n5,n2537,Undirected,184,,,0.635152,0.635152,Pos
n5,n2556,Undirected,185,,,0.831061,0.831061,Pos
n5,n2602,Undirected,186,,,0.467442,0.467442,Pos
n5,n2724,Undirected,187,,,0.454393,0.454393,Pos
n5,n3127,Undirected,188,,,0.504843,0.504843,Pos
n5,n3596,Undirected,189,,,0.509121,0.509121,Pos
n5,n3605,Undirected,190,,,0.622099,0.622099,Pos
n5,n3613,Undirected,191,,,0.716403,0.716403,Pos
n5,n3700,Undirected,192,,,0.665546,0.665546,Pos
n5,n3836,Undirected,193,,,0.471364,0.471364,Pos
n5,n3850,Undirected,194,,,0.755264,0.755264,Pos
n5,n3855,Undirected,195,,,0.475273,0.475273,Pos
n5,n3894,Undirected,196,,,0.700335,0.700335,Pos
n5,n3959,Undirected,197,,,0.755471,0.755471,Pos
n5,n3981,Undirected,198,,,0.629761,0.629761,Pos
n5,n4097,Undirected,199,,,0.654468,0.654468,Pos
n5,n4151,Undirected,200,,,0.612771,0.612771,Pos
n5,n4185,Undirected,201,,,0.758443,0.758443,Pos
n5,n4199,Undirected,202,,,0.523191,0.523191,Pos
n5,n4331,Undirected,203,,,0.514821,0.514821,Pos
n5,n4334,Undirected,204,,,0.591474,0.591474,Pos
n5,n4477,Undirected,205,,,0.467171,0.467171,Pos
n5,n4550,Undirected,206,,,0.76427,0.76427,Pos
n5,n4780,Undirected,207,,,0.560552,0.560552,Pos
n5,n4788,Undirected,208,,,0.636086,0.636086,Pos
n5,n4790,Undirected,209,,,0.486538,0.486538,Pos
n5,n4826,Undirected,210,,,0.621319,0.621319,Pos
n5,n4851,Undirected,211,,,0.920028,0.920028,Pos
n5,n4939,Undirected,212,,,0.910581,0.910581,Pos
